status	status_description
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	RB4, RB5, RB6
good	all
good	n/a
good	n/a
good	n/a
good	RC2, RC3
good	RB4, RB5, RB6, RC2, RC3
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	RB3, RB4, RB5, RB6
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	all
good	n/a
good	n/a
good	n/a
good	RP8, RV9
good	RB4, RB5, RB6, RC2, RC3
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	RP8, RV9
good	RP8, RV9
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	RP8, RV9
good	n/a
good	RP8, RV9
good	n/a
good	RP8, RV9
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	RC2, RC3
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	all
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	RB4, RB5, RB6, RC2, RC3
good	RC2, RC3
good	RB1, RB2, RB3, RB4, RB5, RB6, RC2, RC3
good	n/a
good	all
