status	status_description
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	RC2, RC3, RF2, RF3, RF4
good	n/a
good	RB4, RB5
good	n/a
good	n/a
good	all
good	RC2, RC3
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	RC2, RC3
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	RB1, RB2, RB3, RB4, RB5, RB6, RC2, RC3, RC4
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	all
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	RC2, RC3
good	RB1, RB2, RB3, RB4, RB5, RB6, RC2, RC3
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	RB1, RB2, RB3, RB4, RB5, RB6, RC2, RC3, RC4
good	n/a
good	n/a
good	n/a
good	all
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	RC2, RC3
good	n/a
good	n/a
good	all
good	n/a
good	n/a
good	n/a
good	RB1, RB2, RB3, RB4, RB5, RB6, RC2, RC3, RC4
good	RB1, RB2, RB3, RB4, RB5, RB6, RC2, RC3
good	n/a
good	n/a
