status	status_description
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	RA14
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	RZ8
good	RZ8
good	RZ8
good	RZ8
good	RZ8
good	RZ8
good	RZ8
good	RZ8
good	RZ8
good	RZ8
good	RZ8
good	RZ8
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	RA14
good	RA14
good	n/a
good	n/a
good	n/a
good	RA14
good	n/a
good	n/a
good	n/a
good	RA14
good	n/a
good	RA14
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	RA14
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	RA14
