status	status_description
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	all
good	RP8, RV9, RB1, RB2, RB3, RB4, RB5, RB6, RB7, RC2, RC3, RC4
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	RP8, RV9
good	n/a
good	n/a
good	n/a
good	RB3, RB4, RB5, RB6, RB7, RC2, RC3, RC4
good	n/a
good	RB4, RB5, RB6, RC2, RC3, RC4
good	RB4, RB5, RB6, RC2, RC3, RC4
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	all
good	n/a
good	n/a
good	n/a
