status	status_description
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	LC1, LC2, LC3
good	n/a
good	LC1, LC2, LC3
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	LB1, LB2, LB3, LC1, LC2, LC3, LT1, LT2, LT3
good	LB1, LB2, LB3, LC1, LC2, LC3, LT1, LT2, LT3
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	LB1, LB2, LB3, LC1, LC2, LC3, LT1, LT2, LT3
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	all
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	LB1, LB2, LB3, LC1, LC2, LC3, LT1, LT2, LT3
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	LB1, LB2, LB3, LC1, LC2, LC3, LT1, LT2, LT3
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	LB1, LB2, LB3, LC1, LC2, LC3, LT1, LT2, LT3
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	LB1, LB2
good	LC1, LC2, LC3, LT1, LT2, LT3
good	LC1, LC2, LC3, LT1, LT2, LT3
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
good	n/a
